,train_start,train_end,test_end,params,train_return,test_return
57,2015-02-06 22:15:00,2015-05-07 22:15:00,2015-06-06 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.05104738389547869,-0.00090749999999995
58,2015-03-08 22:15:00,2015-06-06 22:15:00,2015-07-06 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.059994339850791834,-0.0011575000000000335
59,2015-04-07 22:15:00,2015-07-06 22:15:00,2015-08-05 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.05371508213430232,-9.749999999997261e-05
60,2015-05-07 22:15:00,2015-08-05 22:15:00,2015-09-04 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.055153718741888014,-0.0004349999999999632
61,2015-06-06 22:15:00,2015-09-04 22:15:00,2015-10-04 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.029958985260342463,-0.0009050000000000447
62,2015-07-06 22:15:00,2015-10-04 22:15:00,2015-11-03 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.015481096834570884,0.00012250000000002537
63,2015-08-05 22:15:00,2015-11-03 22:15:00,2015-12-03 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.0020304926110374932,-0.00039000000000000146
64,2015-09-04 22:15:00,2015-12-03 22:15:00,2016-01-02 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.008538756089138455,-0.0007700000000000484
65,2015-10-04 22:15:00,2016-01-02 22:15:00,2016-02-01 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.030011488420851995,-0.00015249999999999986
66,2015-11-03 22:15:00,2016-02-01 22:15:00,2016-03-02 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.052107684730315684,0.00011999999999989797
67,2015-12-03 22:15:00,2016-03-02 22:15:00,2016-04-01 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.032098568090184965,1.999999999990898e-05
68,2016-01-02 22:15:00,2016-04-01 22:15:00,2016-05-01 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.033762877349412856,-0.0005600000000000049
69,2016-02-01 22:15:00,2016-05-01 22:15:00,2016-05-31 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.02194249716316321,-0.0005574999999999886
70,2016-03-02 22:15:00,2016-05-31 22:15:00,2016-06-30 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.049938699705918355,-0.00030249999999998334
71,2016-04-01 22:15:00,2016-06-30 22:15:00,2016-07-30 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.04202790187971961,-0.00043000000000004146
72,2016-05-01 22:15:00,2016-07-30 22:15:00,2016-08-29 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.05120049037007246,-0.00019000000000002348
73,2016-05-31 22:15:00,2016-08-29 22:15:00,2016-09-28 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.050184281035853595,-0.00027250000000000885
74,2016-06-30 22:15:00,2016-09-28 22:15:00,2016-10-28 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.030241362773044123,0.0005800000000000249
75,2016-07-30 22:15:00,2016-10-28 22:15:00,2016-11-27 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.016030328624277224,0.00038999999999989043
76,2016-08-29 22:15:00,2016-11-27 22:15:00,2016-12-27 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.014680232313110442,-0.0006350000000000522
77,2016-09-28 22:15:00,2016-12-27 22:15:00,2017-01-26 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.015041475849084107,-0.00018249999999997435
78,2016-10-28 22:15:00,2017-01-26 22:15:00,2017-02-25 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.029012273252997378,2.4999999999053557e-06
79,2016-11-27 22:15:00,2017-02-25 22:15:00,2017-03-27 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.02841398174649834,-0.0003649999999999487
80,2016-12-27 22:15:00,2017-03-27 22:15:00,2017-04-26 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.04058034669556276,-0.0008899999999999464
81,2017-01-26 22:15:00,2017-04-26 22:15:00,2017-05-26 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.037675463880633586,-0.0007599999999999829
82,2017-02-25 22:15:00,2017-05-26 22:15:00,2017-06-25 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.04527389503295487,-0.0005650000000000377
83,2017-03-27 22:15:00,2017-06-25 22:15:00,2017-07-25 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.05246693178277706,-0.0005100000000000104
84,2017-04-26 22:15:00,2017-07-25 22:15:00,2017-08-24 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.045198360791006365,-0.000587499999999963
85,2017-05-26 22:15:00,2017-08-24 22:15:00,2017-09-23 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.03317311392247535,-0.00017250000000001986
86,2017-06-25 22:15:00,2017-09-23 22:15:00,2017-10-23 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.02174907945377258,0.0003975000000000506
87,2017-07-25 22:15:00,2017-10-23 22:15:00,2017-11-22 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.021003400184332888,0.0005649999999999267
88,2017-08-24 22:15:00,2017-11-22 22:15:00,2017-12-22 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.02145348391514712,-0.001194999999999946
89,2017-09-23 22:15:00,2017-12-22 22:15:00,2018-01-21 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.027753214751211508,-0.00048000000000003595
90,2017-10-23 22:15:00,2018-01-21 22:15:00,2018-02-20 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.026920222804523997,0.0004574999999999996
91,2017-11-22 22:15:00,2018-02-20 22:15:00,2018-03-22 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.027701254410729348,1.7500000000003624e-05
92,2017-12-22 22:15:00,2018-03-22 22:15:00,2018-04-21 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.030639781423684953,-6.749999999999812e-05
93,2018-01-21 22:15:00,2018-04-21 22:15:00,2018-05-21 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.044045240790426377,-0.0011649999999999716
94,2018-02-20 22:15:00,2018-05-21 22:15:00,2018-06-20 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.0520009381382418,-0.0013724999999999987
95,2018-03-22 22:15:00,2018-06-20 22:15:00,2018-07-20 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.07053725673617217,-0.0012450000000000516
96,2018-04-21 22:15:00,2018-07-20 22:15:00,2018-08-19 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.07040561539452828,-0.00030249999999998334
97,2018-05-21 22:15:00,2018-08-19 22:15:00,2018-09-18 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.03140103307959696,0.0005399999999999849
98,2018-06-20 22:15:00,2018-09-18 22:15:00,2018-10-18 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.0321424376443078,0.00040250000000008335
99,2018-07-20 22:15:00,2018-10-18 22:15:00,2018-11-17 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",0.007059448674358038,-0.002342500000000025
100,2018-08-19 22:15:00,2018-11-17 22:15:00,2018-12-17 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.006938963177646196,-0.002142500000000047
101,2018-09-18 22:15:00,2018-12-17 22:15:00,2019-01-16 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.0014184704135332682,0.0005524999999999558
102,2018-10-18 22:15:00,2019-01-16 22:15:00,2019-02-15 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.006567939047171789,0.0007775000000000976
103,2018-11-17 22:15:00,2019-02-15 22:15:00,2019-03-17 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.030443258086840674,-0.00012000000000000899
104,2018-12-17 22:15:00,2019-03-17 22:15:00,2019-04-16 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.020983562131870026,-0.0008725000000000538
105,2019-01-16 22:15:00,2019-04-16 22:15:00,2019-05-16 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.031441094780224055,-2.999999999997449e-05
106,2019-02-15 22:15:00,2019-05-16 22:15:00,2019-06-15 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.0026715244646021707,-0.0008150000000000102
107,2019-03-17 22:15:00,2019-06-15 22:15:00,2019-07-15 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.021837818049349145,-0.000260000000000038
108,2019-04-16 22:15:00,2019-07-15 22:15:00,2019-08-14 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.01674723817186896,1.5000000000098268e-05
109,2019-05-16 22:15:00,2019-08-14 22:15:00,2019-09-13 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.010162913487925085,-0.0010350000000000081
